UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
160,M00042,M,298.0,308.2,1446,28.0,22,0,0,0,0,0,0
161,L00086,L,300.2,310.3,1463,50.0,24,0,0,0,0,0,0
162,M00043,M,300.3,309.7,1495,42.9,27,0,0,0,0,0,0
163,M00044,M,297.0,306.4,1499,43.3,30,0,0,0,0,0,0
164,M00045,M,302.0,312.8,1473,48.9,33,0,0,0,0,0,0
165,L00087,L,298.2,309.2,1326,30.1,35,0,0,0,0,0,0
166,H00034,H,300.2,311.0,1557,37.8,40,0,0,0,0,0,0
167,L00088,L,302.3,313.1,1512,38.6,42,0,0,0,0,0,0
168,L00089,L,301.9,312.4,1468,44.5,44,0,0,0,0,0,0
169,L00090,L,300.1,310.2,1678,35.8,46,0,0,0,0,0,0
170,M00046,M,299.3,309.1,1514,32.8,49,0,0,0,0,0,0
171,M00047,M,301.9,313.1,1544,32.7,52,0,0,0,0,0,0
172,L00091,L,301.3,311.0,1618,46.9,54,0,0,0,0,0,0
173,M00048,M,298.8,309.1,1389,35.5,57,0,0,0,0,0,0
174,L00092,L,298.4,307.6,1536,36.7,59,0,0,0,0,0,0
175,M00049,M,295.9,305.2,1617,43.8,62,0,0,0,0,0,0
176,L00093,L,300.3,310.1,1529,35.8,64,0,0,0,0,0,0
177,M00050,M,299.8,309.0,1408,29.8,67,0,0,0,0,0,0
178,L00094,L,302.3,313.1,1490,30.5,69,0,0,0,0,0,0
179,H00035,H,300.7,309.4,1557,39.7,74,0,0,0,0,0,0
180,L00095,L,302.7,312.8,1327,43.0,76,0,0,0,0,0,0
181,L00096,L,298.6,308.7,1403,38.8,78,0,0,0,0,0,0
182,L00097,L,302.3,310.5,1735,42.6,80,0,0,0,0,0,0
183,H00036,H,298.9,308.5,1586,30.3,85,0,0,0,0,0,0
184,H00037,H,301.6,311.8,1686,30.7,90,0,0,0,0,0,0
185,L00098,L,297.1,307.5,1625,53.5,92,1,0,0,1,0,0
186,M00051,M,300.5,310.3,1577,47.4,95,0,0,0,0,0,0
187,H00038,H,296.0,306.7,1507,44.6,100,0,0,0,0,0,0
188,M00052,M,299.5,309.4,1576,36.0,103,0,0,0,0,0,0
189,M00053,M,300.9,310.9,1683,38.6,106,0,0,0,0,0,0
190,L00099,L,299.0,309.2,1621,40.0,108,0,0,0,0,0,0
191,L00100,L,297.9,308.8,1555,47.9,110,0,0,0,0,0,0
192,H00039,H,301.7,311.0,1521,42.4,115,0,0,0,0,0,0
193,H00040,H,299.8,309.3,1588,43.2,120,0,0,0,0,0,0
194,M00054,M,299.0,308.4,1485,39.0,123,0,0,0,0,0,0
195,L00101,L,300.1,309.8,1588,44.8,125,0,0,0,0,0,0
196,L00102,L,305.3,316.7,1468,41.8,127,0,0,0,0,0,0
197,M00055,M,302.3,312.9,1503,40.3,130,0,0,0,0,0,0
198,H00041,H,302.3,311.2,1435,35.5,135,0,0,0,0,0,0
199,H00042,H,300.9,310.3,1494,39.3,140,0,0,0,0,0,0
200,M00056,M,300.3,310.7,1470,33.5,143,0,0,0,0,0,0
201,M00057,M,295.2,304.3,1707,39.8,146,0,0,0,0,0,0
202,L00103,L,298.6,307.9,1449,40.5,148,0,0,0,0,0,0
203,L00104,L,299.0,310.4,1576,25.6,150,0,0,0,0,0,0
204,H00043,H,296.3,305.6,1443,38.6,155,0,0,0,0,0,0
205,M00058,M,297.7,308.6,1543,32.9,158,0,0,0,0,0,0
206,L00105,L,296.0,307.3,1567,43.0,160,0,0,0,0,0,0
207,L00106,L,299.9,309.2,1353,43.8,162,0,0,0,0,0,0
208,M00059,M,301.6,310.7,1398,37.4,165,0,0,0,0,0,0
209,L00107,L,302.2,311.9,1443,43.3,167,0,0,0,0,0,0
210,L00108,L,300.8,309.7,1408,43.5,169,0,0,0,0,0,0
211,M00060,M,298.1,308.2,1546,38.6,172,0,0,0,0,0,0
212,M00061,M,296.1,305.9,1562,49.2,175,0,0,0,0,0,0
213,M00062,M,296.5,306.8,1432,35.6,178,0,0,0,0,0,0
214,L00109,L,297.5,308.9,1550,48.8,180,0,0,0,0,0,0
215,M00063,M,298.2,309.0,1496,38.6,183,0,0,0,0,0,0
216,L00110,L,299.7,310.2,1528,34.9,185,0,0,0,0,0,0
217,L00111,L,298.0,306.0,1475,37.9,187,0,0,0,0,0,0
218,M00064,M,300.7,311.1,1587,33.4,190,0,0,0,0,0,0
219,M00065,M,299.5,311.3,1701,44.7,193,0,0,0,0,0,0
220,H00044,H,300.0,307.0,1615,30.4,198,0,0,0,0,0,0
221,M00066,M,302.3,313.0,1677,48.3,201,0,0,0,0,0,0
222,M00067,M,297.6,307.5,1398,34.4,204,0,0,0,0,0,0
223,L00112,L,300.8,310.0,1470,45.0,206,0,0,0,0,0,0
224,L00113,L,300.0,310.8,1595,40.1,208,0,0,0,0,0,0
225,L00114,L,299.3,311.0,1689,41.6,210,0,0,0,0,0,0
226,L00115,L,301.8,312.5,1603,36.5,212,0,0,0,0,0,0
227,H00045,H,301.8,311.4,1435,42.1,217,0,0,0,0,0,0
228,L00116,L,298.1,307.2,1495,40.8,219,0,0,0,0,0,0
229,H00046,H,299.6,309.8,1571,31.3,224,0,0,0,0,0,0
230,M00068,M,300.6,311.4,1522,34.2,3,0,0,0,0,0,0
231,M00069,M,299.5,309.1,1458,36.8,6,0,0,0,0,0,0
232,M00070,M,301.2,310.9,1509,35.5,9,0,0,0,0,0,0
233,M00071,M,300.6,313.4,1537,47.5,12,0,0,0,0,0,0
234,L00117,L,303.7,314.7,1430,40.0,14,0,0,0,0,0,0
235,L00118,L,296.9,308.1,1636,35.3,16,0,0,0,0,0,0
236,M00072,M,299.8,308.3,1494,37.1,19,0,0,0,0,0,0
237,L00119,L,298.2,307.5,1531,37.0,21,0,0,0,0,0,0
238,L00120,L,301.2,311.3,1642,38.3,23,0,0,0,0,0,0
239,M00073,M,296.8,305.8,1526,33.5,26,0,0,0,0,0,0
240,L00121,L,300.7,312.3,1636,35.1,28,0,0,0,0,0,0
241,H00047,H,298.7,310.2,1435,44.6,33,0,0,0,0,0,0
242,H00048,H,298.5,308.0,1581,41.1,38,0,0,0,0,0,0
243,H00049,H,297.1,308.9,1622,39.1,43,0,0,0,0,0,0
244,L00122,L,299.1,309.1,1455,40.0,45,0,0,0,0,0,0
245,L00123,L,302.2,314.8,1520,39.7,47,0,0,0,0,0,0
246,H00050,H,299.9,310.1,1522,38.7,52,0,0,0,0,0,0
247,L00124,L,301.3,311.8,1559,43.1,54,0,0,0,0,0,0
248,H00051,H,303.3,314.7,1585,42.7,59,0,0,0,0,0,0
249,H00052,H,300.5,311.8,1447,30.6,64,0,0,0,0,0,0
250,H00053,H,298.9,309.4,1532,39.2,69,0,0,0,0,0,0
251,L00125,L,300.9,310.8,1697,31.0,71,0,0,0,0,0,0
252,L00126,L,298.9,309.4,1643,43.8,73,0,0,0,0,0,0
253,H00054,H,299.0,308.2,1617,44.6,78,0,0,0,0,0,0
254,L00127,L,297.0,307.1,1519,36.3,80,0,0,0,0,0,0
255,L00128,L,301.9,310.7,1751,39.3,82,0,0,0,0,0,0
256,M00074,M,299.2,307.4,1641,27.3,85,0,0,0,0,0,0
257,H00055,H,300.4,310.4,1542,45.8,90,0,0,0,0,0,0
258,M00075,M,297.9,309.2,1560,44.3,93,0,0,0,0,0,0
259,M00076,M,300.9,311.8,1492,46.9,96,0,0,0,0,0,0
260,L00129,L,298.5,308.4,1577,48.9,98,0,0,0,0,0,0
261,M00077,M,299.7,311.5,1597,32.7,101,0,0,0,0,0,0
262,H00056,H,301.8,311.2,1608,45.3,106,0,0,0,0,0,0
263,L00130,L,301.6,309.7,1520,48.9,108,0,0,0,0,0,0
264,M00078,M,300.0,307.8,1391,31.0,111,0,0,0,0,0,0
265,H00057,H,296.5,305.3,1562,39.0,116,0,0,0,0,0,0
266,M00079,M,306.0,316.8,1609,37.8,119,0,0,0,0,0,0
267,M00080,M,303.5,312.9,1440,45.1,122,0,0,0,0,0,0
268,M00081,M,301.4,311.9,1529,25.6,125,0,0,0,0,0,0
269,L00131,L,298.5,310.1,1672,50.9,127,0,0,0,0,0,0
270,L00132,L,299.8,308.7,1418,39.3,129,0,0,0,0,0,0
271,H00058,H,298.9,309.4,1510,45.5,134,0,0,0,0,0,0
272,H00059,H,302.5,313.1,1687,39.6,139,0,0,0,0,0,0
273,H00060,H,300.5,309.7,1554,43.0,144,0,0,0,0,0,0
274,H00061,H,298.4,309.8,1485,26.1,149,0,0,0,0,0,0
275,M00082,M,299.1,308.8,1537,37.7,152,0,0,0,0,0,0
276,M00083,M,302.2,311.9,1621,45.1,155,0,0,0,0,0,0
277,M00084,M,303.2,315.3,1518,41.7,158,0,0,0,0,0,0
278,M00085,M,303.1,313.6,1598,30.2,161,0,0,0,0,0,0
279,M00086,M,301.5,312.4,1561,40.4,164,0,0,0,0,0,0
280,M00087,M,299.5,310.8,1570,35.1,167,0,0,0,0,0,0
281,H00062,H,293.5,302.9,1604,34.6,172,0,0,0,0,0,0
282,L00133,L,300.6,311.8,1509,30.9,174,0,0,0,0,0,0
283,L00134,L,300.0,309.5,1444,43.7,176,0,0,0,0,0,0
284,L00135,L,300.3,309.7,1585,46.7,178,0,0,0,0,0,0
285,M00088,M,300.1,309.8,1525,52.7,181,0,0,0,0,0,0
286,L00136,L,297.3,306.7,1493,31.2,183,0,0,0,0,0,0
287,L00137,L,301.1,311.9,1591,44.6,185,0,0,0,0,0,0
288,M00089,M,301.3,311.5,1666,45.0,188,0,0,0,0,0,0
289,L00138,L,301.4,310.9,1523,36.5,190,0,0,0,0,0,0
290,M00090,M,301.9,312.6,1539,34.5,193,0,0,0,0,0,0
291,L00139,L,301.2,310.9,1420,33.5,195,0,0,0,0,0,0
292,L00140,L,299.2,308.9,1516,36.8,197,0,0,0,0,0,0
293,H00063,H,299.9,309.9,1560,41.2,202,0,0,0,0,0,0
294,L00141,L,300.2,310.6,1536,48.2,204,0,0,0,0,0,0
295,L00142,L,300.2,310.6,1502,46.6,206,0,0,0,0,0,0
296,M00091,M,302.0,311.6,1611,30.3,209,0,0,0,0,0,0
297,M00092,M,301.3,312.1,1544,35.3,212,0,0,0,0,0,0
298,L00143,L,304.2,313.9,1797,47.8,214,0,0,0,0,0,0
299,M00093,M,304.4,313.8,1559,35.6,217,0,0,0,0,0,0
300,L00144,L,300.2,308.7,1263,39.7,219,1,0,1,0,0,0
301,L00145,L,292.3,303.3,1427,29.8,221,1,1,0,0,0,0
302,M00094,M,302.5,312.5,1591,46.9,3,0,0,0,0,0,0
303,M00095,M,298.9,309.1,1474,28.5,6,0,0,0,0,0,0
304,M00096,M,298.4,309.4,1480,30.1,9,0,0,0,0,0,0
305,M00097,M,299.2,308.7,1414,46.3,12,0,0,0,0,0,0
306,H00064,H,299.1,307.7,1490,51.5,17,0,0,0,0,0,0
307,M00098,M,301.2,311.3,1557,38.3,20,0,0,0,0,0,0
308,L00146,L,296.9,307.2,1577,39.7,22,0,0,0,0,0,0
309,M00099,M,297.8,307.6,1436,45.4,25,0,0,0,0,0,0
310,L00147,L,300.7,312.2,1619,41.7,27,0,0,0,0,0,0
311,L00148,L,301.2,308.8,1419,37.8,29,0,0,0,0,0,0
312,L00149,L,301.3,312.4,1582,37.1,31,0,0,0,0,0,0
313,L00150,L,298.4,309.2,1572,30.6,33,0,0,0,0,0,0
314,H00065,H,298.0,308.5,1445,41.4,38,0,0,0,0,0,0
315,H00066,H,299.0,305.7,1433,39.4,43,0,0,0,0,0,0
316,M00100,M,300.5,311.8,1576,37.4,46,0,0,0,0,0,0
317,L00151,L,303.0,311.9,1482,34.0,48,0,0,0,0,0,0
318,L00152,L,295.9,305.4,1519,34.6,50,0,0,0,0,0,0
319,L00153,L,299.6,309.4,1607,43.7,52,0,0,0,0,0,0
320,L00154,L,297.3,307.7,1586,45.3,54,0,0,0,0,0,0
321,M00101,M,296.7,307.3,1446,38.0,57,0,0,0,0,0,0
322,M00102,M,301.9,312.8,1533,37.4,60,0,0,0,0,0,0
323,M00103,M,301.1,311.9,1445,34.9,63,0,0,0,0,0,0
324,L00155,L,300.9,311.2,1625,45.6,65,0,0,0,0,0,0
325,H00067,H,301.8,312.3,1692,40.2,70,0,0,0,0,0,0
326,M00104,M,299.0,307.9,1453,42.2,73,0,0,0,0,0,0
327,M00105,M,299.1,308.4,1535,42.2,76,0,0,0,0,0,0
328,M00106,M,304.4,315.3,1630,38.2,79,0,0,0,0,0,0
329,L00156,L,299.5,310.3,1540,33.0,81,0,0,0,0,0,0
330,L00157,L,301.5,312.2,1594,34.0,83,0,0,0,0,0,0
331,L00158,L,300.0,309.5,1543,46.8,85,0,0,0,0,0,0
332,M00107,M,296.3,307.2,1432,35.6,88,0,0,0,0,0,0
333,L00159,L,295.9,304.7,1550,37.5,90,0,0,0,0,0,0
334,L00160,L,298.8,309.9,1651,33.2,92,0,0,0,0,0,0
335,L00161,L,302.1,311.9,1569,32.7,94,0,0,0,0,0,0
336,L00162,L,301.6,313.3,1700,35.4,96,0,0,0,0,0,0
337,H00068,H,301.8,310.3,1361,50.1,101,1,0,1,0,0,0
338,M00108,M,298.0,309.8,1576,43.9,104,0,0,0,0,0,0
339,L00163,L,303.2,312.9,1473,36.8,106,0,0,0,0,0,0
340,L00164,L,298.1,307.7,1450,46.5,108,0,0,0,0,0,0
341,L00165,L,300.4,310.6,1671,39.1,110,0,0,0,0,0,0
342,L00166,L,300.0,309.3,1512,48.1,112,0,0,0,0,0,0
343,L00167,L,299.7,309.6,1503,53.3,114,0,0,0,0,0,0
344,L00168,L,302.7,311.9,1572,46.2,116,0,0,0,0,0,0
345,L00169,L,298.6,307.9,1323,40.6,118,0,0,0,0,0,0
346,M00109,M,297.3,307.8,1673,44.2,121,0,0,0,0,0,0
347,M00110,M,300.0,309.1,1728,40.1,124,0,0,0,0,0,0
348,L00170,L,299.2,308.4,1630,29.0,126,0,0,0,0,0,0
349,L00171,L,306.8,315.4,1579,36.1,128,0,0,0,0,0,0
350,M00111,M,301.4,310.8,1516,34.3,131,0,0,0,0,0,0
351,M00112,M,299.2,310.5,1430,35.9,134,0,0,0,0,0,0
352,H00069,H,297.9,307.0,1657,50.8,139,0,0,0,0,0,0
353,M00113,M,296.2,305.5,1630,46.7,142,0,0,0,0,0,0
354,L00172,L,297.9,308.1,1583,42.6,144,0,0,0,0,0,0
355,L00173,L,300.2,309.9,1571,44.9,146,0,0,0,0,0,0
356,M00114,M,302.9,315.1,1568,28.6,149,0,0,0,0,0,0
357,L00174,L,302.2,312.1,1485,44.4,151,0,0,0,0,0,0
358,M00115,M,300.5,310.8,1788,45.6,154,0,0,0,0,0,0
359,H00070,H,299.4,310.3,1509,26.6,159,0,0,0,0,0,0
360,M00116,M,300.5,311.5,1495,44.6,162,0,0,0,0,0,0
361,L00175,L,299.0,309.2,1650,31.5,164,0,0,0,0,0,0
362,M00117,M,303.4,313.3,1535,28.2,167,0,0,0,0,0,0
363,L00176,L,299.6,311.6,1536,48.0,169,0,0,0,0,0,0
364,M00118,M,299.8,309.7,1679,34.0,172,0,0,0,0,0,0
365,H00071,H,295.6,305.1,1606,35.7,177,0,0,0,0,0,0
366,L00177,L,299.6,309.0,1611,45.9,179,0,0,0,0,0,0
367,H00072,H,301.7,309.9,1396,38.2,184,0,0,0,0,0,0
368,H00073,H,297.9,308.7,1578,38.9,189,0,0,0,0,0,0
369,L00178,L,298.5,306.2,1437,38.8,191,0,0,0,0,0,0
370,L00179,L,301.6,311.6,1493,42.1,193,0,0,0,0,0,0
371,L00180,L,297.0,306.8,1556,38.6,195,0,0,0,0,0,0
372,L00181,L,302.1,314.4,1534,40.7,197,0,0,0,0,0,0
373,L00182,L,298.9,307.1,1603,37.0,199,0,0,0,0,0,0
374,M00119,M,299.2,308.3,1615,42.1,202,0,0,0,0,0,0
